model_type,model_name,pruned_on,sparsity,layer_index,total_params,nonzero_params,fraction_pruned,fraction_remaining
pruned,Llama-3.1-8b-Instruct,AST,25pct,28,218112000,163586010,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,AST,25pct,29,218112000,163586010,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,AST,25pct,30,218112000,163586009,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,AST,25pct,31,218112000,163586009,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,AST,50pct,0,218112000,109059983,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,1,218112000,109060054,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,2,218112000,109059997,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,3,218112000,109060042,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,4,218112000,109060018,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,5,218112000,109060011,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,6,218112000,109060016,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,7,218112000,109060012,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,8,218112000,109060064,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,9,218112000,109060065,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,10,218112000,109060069,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,11,218112000,109060049,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,12,218112000,109060030,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,13,218112000,109060013,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,14,218112000,109060071,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,15,218112000,109060047,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,16,218112000,109060031,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,17,218112000,109060034,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,18,218112000,109060038,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,19,218112000,109060067,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,20,218112000,109060019,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,21,218112000,109060000,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,22,218112000,109060041,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,23,218112000,109060015,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,24,218112000,109060046,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,25,218112000,109060006,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,26,218112000,109060072,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,27,218112000,109060024,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,28,218112000,109060000,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,29,218112000,109060057,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,30,218112000,109060025,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,AST,50pct,31,218112000,109060036,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,25pct,0,218112000,163586018,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,1,218112000,163585985,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,2,218112000,163586008,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,3,218112000,163586020,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,4,218112000,163586006,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,5,218112000,163585994,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,6,218112000,163586015,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,7,218112000,163586027,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,8,218112000,163586009,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,9,218112000,163586031,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,10,218112000,163585981,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,11,218112000,163585997,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,12,218112000,163586026,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,13,218112000,163586022,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,14,218112000,163586022,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,15,218112000,163586004,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,16,218112000,163586025,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,17,218112000,163586016,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,18,218112000,163586032,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,19,218112000,163586001,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,20,218112000,163586029,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,21,218112000,163585997,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,22,218112000,163586038,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,23,218112000,163586009,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,24,218112000,163585995,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,25,218112000,163585994,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,26,218112000,163585997,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,27,218112000,163586038,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,28,218112000,163586028,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,29,218112000,163586009,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,30,218112000,163586016,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,25pct,31,218112000,163586024,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FBT,50pct,0,218112000,109059995,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,1,218112000,109060009,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,2,218112000,109060012,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,3,218112000,109060009,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,4,218112000,109060017,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,5,218112000,109060020,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,6,218112000,109060044,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,7,218112000,109060047,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,8,218112000,109060046,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,9,218112000,109060047,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,10,218112000,109060047,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,11,218112000,109059997,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,12,218112000,109060062,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,13,218112000,109060033,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,14,218112000,109060066,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,15,218112000,109060016,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,16,218112000,109060048,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,17,218112000,109060056,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,18,218112000,109060035,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,19,218112000,109060067,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,20,218112000,109060050,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,21,218112000,109060065,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,22,218112000,109060036,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,23,218112000,109060033,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,24,218112000,109059995,0.5000,0.5000
